RA,Dec
130.58935457535958,-17.530549710399878
130.5893550730833,-17.531643042259507
130.5893550730833,-17.531643042259507
130.59050216689292,-17.53273589531398
130.59050216689292,-17.53273589531398
130.59164927444067,-17.53382874168894
130.59164978598187,-17.5349220734117
130.59050368081736,-17.536015890578174
130.59050368081736,-17.536015890578174
130.590504185471,-17.537109222280613
130.58935805955173,-17.53820303289624
130.58935805955173,-17.53820303289624
130.58821191977214,-17.539296836953337
130.58821191977214,-17.539296836953337
130.5870657661329,-17.540390634449807
130.48960135396354,-17.534939462564935
130.48960135396354,-17.534939462564935
130.48960135396354,-17.534939462564935
130.48845474176971,-17.534939361302076
130.48845474176971,-17.534939361302076
130.48845474176971,-17.534939361302076
130.48960135396354,-17.534939462564935
130.52284589387614,-17.454032882213422
130.52169979201918,-17.454032971681283
130.52055369015017,-17.454033054589324
130.51940758827004,-17.454033130937624
130.51826148637969,-17.454033200726183
130.51711538448004,-17.454033263954962
130.51596922646547,-17.45293998800756
130.51596922646547,-17.45293998800756
130.51482313144362,-17.45294003811347
130.51367703641523,-17.452940081660053
130.5125309413812,-17.452940118647287
130.51138484634245,-17.45294014907521
130.51023872966186,-17.451846840348924
130.51138478927956,-17.450753483923204
130.51253087053126,-17.450753453499356
130.51367695177825,-17.450753416517053
130.5148230330196,-17.450753372976283
130.51596911425443,-17.450753322877038
130.51711519548178,-17.450753266219387
130.51826127670074,-17.450753203003256
130.5194073579104,-17.45075313322868
130.52055343910985,-17.450753056895664
130.52169952029817,-17.4507529740042
130.52284560147444,-17.450752884554262
130.52399178699727,-17.451846121058164
130.52399189135807,-17.452939453605083
130.52284589387614,-17.454032882213422
130.50680045850004,-17.444193545431627
130.50565441859766,-17.44419354306417
130.50450837869607,-17.444193534140894
130.5033623387962,-17.444193518661805
130.50221629889893,-17.444193496626866
130.50107025900522,-17.444193468036126
130.49992425951606,-17.443100100599402
130.50107032601923,-17.44200680349214
130.50221635212722,-17.442006832079077
130.50221635212722,-17.442006832079077
130.50336239795973,-17.440913521897993
130.50450841718117,-17.44091353737398
130.5056544364043,-17.4409135462955
130.5068004565855,-17.442006880877305
130.5068004565855,-17.442006880877305
130.50794649055211,-17.443100208945843
130.50680045850004,-17.444193545431627
130.52742855070042,-17.438725806289245
130.52628254540429,-17.438725921888032
130.52513654009243,-17.438726030933214
130.52399053476577,-17.438726133424748
130.52284452942524,-17.43872622936264
130.52169852407175,-17.438726318746895
130.5205525187062,-17.438726401577508
130.51940651332956,-17.438726477854495
130.51826050794264,-17.438726547577865
130.5171144395569,-17.437633278681194
130.5171144395569,-17.437633278681194
130.5159683849484,-17.436540003268313
130.51596832885267,-17.43544667128893
130.51596832885267,-17.43544667128893
130.514822294915,-17.43435338940521
130.51482224571276,-17.433260057516435
130.51482219651112,-17.43216672567586
130.51596810447646,-17.431073343845178
130.51596810447646,-17.431073343845178
130.51596804838408,-17.429980012106668
130.5171139356676,-17.428886623836675
130.5171139356676,-17.428886623836675
130.51711387268483,-17.427793292203877
130.5182597392863,-17.4266998974999
130.5182597392863,-17.4266998974999
130.5182597392863,-17.4266998974999
130.5171137467216,-17.425606629095494
130.5182595995415,-17.424513234506698
130.51940551533258,-17.424513164843862
130.51940551533258,-17.424513164843862
130.5205513474595,-17.423419757227656
130.52169725633783,-17.423419674474466
130.52169725633783,-17.423419674474466
130.52284306776855,-17.422326253835173
130.52398896973057,-17.422326157993382
130.5251348716787,-17.422326055604536
130.52628077361203,-17.42232594666859
130.5274268005305,-17.42341916249593
130.5274268005305,-17.42341916249593
130.52857270932282,-17.423419040457688
130.52971875688277,-17.424512243220896
130.52971875688277,-17.424512243220896
130.53086481820878,-17.42560543947306
130.53086496388886,-17.426698770921256
130.53086496388886,-17.426698770921256
130.53201104587373,-17.427791960703775
130.53201119844906,-17.42888529224761
130.5320113510262,-17.42997862384278
130.5320115036052,-17.431071955488548
130.532011656186,-17.43216528718407
130.53086583800612,-17.433258760694542
